name,versions,fmts,fmt_str,dataset,module_type,network_architecture,author
imagenet-mobilenet_v2_100_192-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_224-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_100_224-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_100_96-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_100_96-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_130_224-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_130_224-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-mobilenet_v2_140_224-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
imagenet-mobilenet_v2_140_224-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
imagenet-nasnet_large-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,NASNet-A (large),3
imagenet-nasnet_large-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,NASNet-A (large),3
imagenet-nasnet_mobile-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,NASNet-A (mobile),3
imagenet-nasnet_mobile-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,NASNet-A (mobile),3
imagenet-pnasnet_large-classification@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,PNASNet-5 (large),4
imagenet-pnasnet_large-feature_vector@@google,4,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,PNASNet-5 (large),4
imagenet-resnet_v1_101-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V1 101,3
imagenet-resnet_v1_101-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V1 101,3
imagenet-resnet_v1_152-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V1 152,3
imagenet-resnet_v1_152-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V1 152,3
imagenet-resnet_v1_50-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V1 50,3
imagenet-resnet_v1_50-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V1 50,3
imagenet-resnet_v2_101-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V2 101,3
imagenet-resnet_v2_101-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V2 101,3
imagenet-resnet_v2_152-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V2 152,3
imagenet-resnet_v2_152-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V2 152,3
imagenet-resnet_v2_50-classification@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V2 50,3
imagenet-resnet_v2_50-feature_vector@@google,3,2,"hub,saved_model_2",ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V2 50,3
inaturalist-inception_v3-feature_vector@@google,3,2,"hub,saved_model_2",iNaturalist (iNat) 2017,image-feature-vector,Inception V3,3
jigsaw@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
llr-pretrain-adv-latents@@deepmind,1,1,hub,birds-or-bicycles,image-classifier,ResNet-152,1
llr-pretrain-adv-linear@@deepmind,1,1,hub,birds-or-bicycles,image-classifier,ResNet-152,1
local-linearity-cifar10@@deepmind,1,1,hub,cifar10,image-classifier,Wide-ResNet-40-8,1
local-linearity-imagenet@@deepmind,1,1,hub,imagenet,image-classifier,ResNet-152,1
magenta-arbitrary-image-stylization-v1-256@@google,2,1,hub,Multiple,image-style-transfer,Other,2
mil-nce-i3d@@deepmind,1,1,hub,None,video-text,I3D,1
mil-nce-s3d@@deepmind,1,1,hub,None,video-text,S3D,1
nnlm-de-dim128-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-de-dim128@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-de-dim50-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-de-dim50@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-en-dim128-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-en-dim128@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-en-dim50-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-en-dim50@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-es-dim128-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-es-dim128@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-es-dim50-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-es-dim50@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-id-dim128-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-id-dim128@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-id-dim50-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-id-dim50@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-ja-dim128-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-ja-dim128@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-ja-dim50-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-ja-dim50@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-ko-dim128-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-ko-dim128@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-ko-dim50-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-ko-dim50@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-zh-dim128-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-zh-dim128@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-zh-dim50-with-normalization@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nnlm-zh-dim50@@google,2,2,"hub,saved_model_2",Google News,text-embedding,NNLM,2
nonsemantic-speech-benchmark-trill-distilled@@google,1,1,saved_model_2,AudioSet,audio-embedding,MobileNet,1
nonsemantic-speech-benchmark-trill@@google,1,1,saved_model_2,AudioSet,audio-embedding,ResNet,1
nq@@nascarr,1,1,saved_model_2,Natural Questions,text-question-answering,Transformer,1
object_detection-mobile_object_localizer_v1@@google,1,1,hub,None,image-object-detection,MobileNet V2,1
openimages_v4-ssd-mobilenet_v2@@google,1,1,hub,OpenImagesV4,image-object-detection,SSD,1
planet-vision-classifier-planet_v2@@google,1,1,hub,None,image-classification,None,1
progan-128@@google,1,1,hub,CelebA,image-generator,Progressive GAN,1
random-nnlm-en-dim128@@google,1,1,hub,None,text-embedding,NNLM,1
random-nnlm-en-dim50@@google,1,1,hub,None,text-embedding,NNLM,1
relative-patch-location@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
remote_sensing-bigearthnet-resnet50@@google,1,1,hub,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-eurosat-ms-resnet50@@google,1,1,hub,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-eurosat-resnet50@@google,1,1,hub,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-resisc45-resnet50@@google,1,1,hub,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-so2sat-ms-resnet50@@google,1,1,hub,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-so2sat-resnet50@@google,1,1,hub,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-uc_merced-resnet50@@google,1,1,hub,Multiple,image-feature-vector,ResNet V2 50,1
resnet_50-classification@@tensorflow,1,1,saved_model_2,ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V1 50,1
resnet_50-feature_vector@@tensorflow,1,1,saved_model_2,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V1 50,1
rotation@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
semi-exemplar-10@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
semi-rotation-10@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
speech_embedding@@google,1,1,hub,None,audio-embedding,KeyWordSpottingNet,1
spice@@google,1,1,saved_model,None,audio-pitch-extraction,None,1
spiral-default-fluid-gansn-celebahq64-gen-19steps@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent1@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent2@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent3@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent4@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent5@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent6@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent7@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent8@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent9@@deepmind,1,1,hub,CelebA HQ,image-rnn-agent,Other,1
sup-100@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
sup-exemplar-100@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
sup-rotation-100@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
svampeatlas-vision-embedder-fungi_V1@@google,1,1,hub,None,image-feature-vector,None,1
tf2-preview-gnews-swivel-20dim-with-oov@@google,1,1,saved_model_2,Google News,text-embedding,Swivel,1
tf2-preview-gnews-swivel-20dim@@google,1,1,saved_model_2,Google News,text-embedding,Swivel,1
tf2-preview-inception_v3-classification@@google,4,1,saved_model_2,ImageNet (ILSVRC-2012-CLS),image-classification,Inception V3,4
tf2-preview-inception_v3-feature_vector@@google,4,1,saved_model_2,ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception V3,4
tf2-preview-mobilenet_v2-classification@@google,4,1,saved_model_2,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
tf2-preview-mobilenet_v2-feature_vector@@google,4,1,saved_model_2,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
tf2-preview-nnlm-de-dim128-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-de-dim128@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-de-dim50-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-de-dim50@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-en-dim128-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-en-dim128@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-en-dim50-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-en-dim50@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-es-dim128-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-es-dim128@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-es-dim50-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-es-dim50@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-id-dim128-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-id-dim128@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-id-dim50-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-id-dim50@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ja-dim128-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ja-dim128@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ja-dim50-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ja-dim50@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ko-dim128-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ko-dim128@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ko-dim50-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ko-dim50@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-zh-dim128-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-zh-dim128@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-zh-dim50-with-normalization@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-zh-dim50@@google,1,1,saved_model_2,Google News,text-embedding,NNLM,1
tf2nq@@prvi,1,1,saved_model_2,Natural Questions,text-question-answering,Transformer,1
tfgan-eval-inception@@tensorflow,1,1,hub,None,image-feature-vector,None,1
tfgan-eval-mnist-logits@@tensorflow,1,1,hub,None,image-classifier,None,1
tweening_conv3d_bair@@google,1,1,hub,BAIR,video-generator,Other,1
tweening_conv3d_kth@@google,1,1,hub,KTH,video-generator,Other,1
uncond-biggan@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,BigGAN,1
unet-industrial-class_10@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_1@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_2@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_3@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_4@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_5@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_6@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_7@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_8@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_9@@nvidia,1,1,hub,DAGM2007,image-segmentation,Unet,1
universal-sentence-encoder-large@@google,5,2,"hub,saved_model_2",None,text-embedding,Transformer,5
universal-sentence-encoder-lite@@google,2,1,hub,None,text-embedding,Transformer,2
universal-sentence-encoder-multilingual-large@@google,3,2,"hub,saved_model_2",None,text-embedding,Transformer,3
universal-sentence-encoder-multilingual-qa@@google,3,2,"hub,saved_model_2",None,text-embedding,Transformer,3
universal-sentence-encoder-multilingual@@google,3,2,"hub,saved_model_2",None,text-embedding,CNN,3
universal-sentence-encoder-qa@@google,3,2,"hub,saved_model_2",None,text-embedding,Transformer,3
universal-sentence-encoder-xling-en-de@@google,1,1,hub,None,text-embedding,Transformer,1
universal-sentence-encoder-xling-en-es@@google,1,1,hub,None,text-embedding,Transformer,1
universal-sentence-encoder-xling-en-fr@@google,1,1,hub,None,text-embedding,Transformer,1
universal-sentence-encoder-xling-many@@google,1,1,hub,None,text-embedding,Transformer,1
universal-sentence-encoder@@google,4,2,"hub,saved_model_2",None,text-embedding,DAN,4
unsupervised-adversarial-training-cifar10-wrn_106@@deepmind,1,1,hub,CIFAR10,image-classification,WRN-106,1
vae@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,VAE,1
videoflow-encoder@@google,1,1,hub,BAIR Robot Pushing Dataset,video-generation,VideoFlow,1
videoflow-evaluator@@google,1,1,hub,BAIR Robot Pushing Dataset,video-generation,VideoFlow,1
videoflow-generator@@google,1,1,hub,BAIR Robot Pushing Dataset,video-generation,VideoFlow,1
vision-classifier-fungi_mobile_V1@@svampeatlas,1,1,hub,None,image-classification,MobileNet V2,1
vision-classifier-imet_attributes_V1@@metmuseum,1,1,hub,iMet Collection 2019,image-classification-logits,Inception V4,1
vision-detector-megadetector_V3@@microsoft-ai-for-earth,1,1,hub,None,image-object-detection,None,1
vision-embedder-fungi_V2@@svampeatlas,1,1,hub,None,image-feature-vector,Inception V4,1
vision-embedder-inaturalist_V2@@inaturalist,1,1,hub,None,image-feature-vector,None,1
wae-gan@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,WAE,1
wae-mmd@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,WAE,1
wae-ukl@@vtab,1,1,hub,ImageNet (ILSVRC-2012-CLS),image-feature-vector,WAE,1
