name,dataset,module_type,network_architecture,author
nnlm-en-dim50@@google,Google News,text-embedding,NNLM,2
nnlm-es-dim128-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-es-dim128@@google,Google News,text-embedding,NNLM,2
nnlm-es-dim50-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-es-dim50@@google,Google News,text-embedding,NNLM,2
nnlm-id-dim128-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-id-dim128@@google,Google News,text-embedding,NNLM,2
nnlm-id-dim50-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-id-dim50@@google,Google News,text-embedding,NNLM,2
nnlm-ja-dim128-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-ja-dim128@@google,Google News,text-embedding,NNLM,2
nnlm-ja-dim50-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-ja-dim50@@google,Google News,text-embedding,NNLM,2
nnlm-ko-dim128-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-ko-dim128@@google,Google News,text-embedding,NNLM,2
nnlm-ko-dim50-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-ko-dim50@@google,Google News,text-embedding,NNLM,2
nnlm-zh-dim128-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-zh-dim128@@google,Google News,text-embedding,NNLM,2
nnlm-zh-dim50-with-normalization@@google,Google News,text-embedding,NNLM,2
nnlm-zh-dim50@@google,Google News,text-embedding,NNLM,2
nonsemantic-speech-benchmark-trill-distilled@@google,AudioSet,audio-embedding,MobileNet,1
nonsemantic-speech-benchmark-trill@@google,AudioSet,audio-embedding,ResNet,1
nq@@nascarr,Natural Questions,text-question-answering,Transformer,1
object_detection-mobile_object_localizer_v1@@google,None,image-object-detection,MobileNet V2,1
openimages_v4-ssd-mobilenet_v2@@google,OpenImagesV4,image-object-detection,SSD,1
planet-vision-classifier-planet_v2@@google,None,image-classification,None,1
progan-128@@google,CelebA,image-generator,Progressive GAN,1
random-nnlm-en-dim128@@google,None,text-embedding,NNLM,1
random-nnlm-en-dim50@@google,None,text-embedding,NNLM,1
relative-patch-location@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
remote_sensing-bigearthnet-resnet50@@google,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-eurosat-ms-resnet50@@google,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-eurosat-resnet50@@google,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-resisc45-resnet50@@google,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-so2sat-ms-resnet50@@google,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-so2sat-resnet50@@google,Multiple,image-feature-vector,ResNet V2 50,1
remote_sensing-uc_merced-resnet50@@google,Multiple,image-feature-vector,ResNet V2 50,1
resnet_50-classification@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-classification,ResNet V1 50,1
resnet_50-feature_vector@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet V1 50,1
rotation@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
semi-exemplar-10@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
semi-rotation-10@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
speech_embedding@@google,None,audio-embedding,KeyWordSpottingNet,1
spice@@google,None,audio-pitch-extraction,None,1
spiral-default-fluid-gansn-celebahq64-gen-19steps@@deepmind,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent1@@deepmind,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent2@@deepmind,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent3@@deepmind,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent4@@deepmind,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent5@@deepmind,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent6@@deepmind,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent7@@deepmind,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent8@@deepmind,CelebA HQ,image-rnn-agent,Other,1
spiral-default-wgangp-celebahq64-gen-19steps-agent9@@deepmind,CelebA HQ,image-rnn-agent,Other,1
sup-100@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
sup-exemplar-100@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
sup-rotation-100@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
svampeatlas-vision-embedder-fungi_V1@@google,None,image-feature-vector,None,1
tf2-preview-gnews-swivel-20dim-with-oov@@google,Google News,text-embedding,Swivel,1
tf2-preview-gnews-swivel-20dim@@google,Google News,text-embedding,Swivel,1
tf2-preview-inception_v3-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,Inception V3,4
tf2-preview-inception_v3-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,Inception V3,4
tf2-preview-mobilenet_v2-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,MobileNet V2,4
tf2-preview-mobilenet_v2-feature_vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,MobileNet V2,4
tf2-preview-nnlm-de-dim128-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-de-dim128@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-de-dim50-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-de-dim50@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-en-dim128-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-en-dim128@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-en-dim50-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-en-dim50@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-es-dim128-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-es-dim128@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-es-dim50-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-es-dim50@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-id-dim128-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-id-dim128@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-id-dim50-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-id-dim50@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ja-dim128-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ja-dim128@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ja-dim50-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ja-dim50@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ko-dim128-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ko-dim128@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ko-dim50-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-ko-dim50@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-zh-dim128-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-zh-dim128@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-zh-dim50-with-normalization@@google,Google News,text-embedding,NNLM,1
tf2-preview-nnlm-zh-dim50@@google,Google News,text-embedding,NNLM,1
tf2nq@@prvi,Natural Questions,text-question-answering,Transformer,1
tfgan-eval-inception@@tensorflow,None,image-feature-vector,None,1
tfgan-eval-mnist-logits@@tensorflow,None,image-classifier,None,1
tweening_conv3d_bair@@google,BAIR,video-generator,Other,1
tweening_conv3d_kth@@google,KTH,video-generator,Other,1
uncond-biggan@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,BigGAN,1
unet-industrial-class_10@@nvidia,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_1@@nvidia,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_2@@nvidia,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_3@@nvidia,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_4@@nvidia,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_5@@nvidia,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_6@@nvidia,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_7@@nvidia,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_8@@nvidia,DAGM2007,image-segmentation,Unet,1
unet-industrial-class_9@@nvidia,DAGM2007,image-segmentation,Unet,1
universal-sentence-encoder-large@@google,None,text-embedding,Transformer,5
universal-sentence-encoder-lite@@google,None,text-embedding,Transformer,2
universal-sentence-encoder-multilingual-large@@google,None,text-embedding,Transformer,3
universal-sentence-encoder-multilingual-qa@@google,None,text-embedding,Transformer,3
universal-sentence-encoder-multilingual@@google,None,text-embedding,CNN,3
universal-sentence-encoder-qa@@google,None,text-embedding,Transformer,3
universal-sentence-encoder-xling-en-de@@google,None,text-embedding,Transformer,1
universal-sentence-encoder-xling-en-es@@google,None,text-embedding,Transformer,1
universal-sentence-encoder-xling-en-fr@@google,None,text-embedding,Transformer,1
universal-sentence-encoder-xling-many@@google,None,text-embedding,Transformer,1
universal-sentence-encoder@@google,None,text-embedding,DAN,4
unsupervised-adversarial-training-cifar10-wrn_106@@deepmind,CIFAR10,image-classification,WRN-106,1
vae@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,VAE,1
videoflow-encoder@@google,BAIR Robot Pushing Dataset,video-generation,VideoFlow,1
videoflow-evaluator@@google,BAIR Robot Pushing Dataset,video-generation,VideoFlow,1
videoflow-generator@@google,BAIR Robot Pushing Dataset,video-generation,VideoFlow,1
vision-classifier-fungi_mobile_V1@@svampeatlas,None,image-classification,MobileNet V2,1
vision-classifier-imet_attributes_V1@@metmuseum,iMet Collection 2019,image-classification-logits,Inception V4,1
vision-detector-megadetector_V3@@microsoft-ai-for-earth,None,image-object-detection,None,1
vision-embedder-fungi_V2@@svampeatlas,None,image-feature-vector,Inception V4,1
vision-embedder-inaturalist_V2@@inaturalist,None,image-feature-vector,None,1
wae-gan@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,WAE,1
wae-mmd@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,WAE,1
wae-ukl@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,WAE,1
